,tanggal,pm_10,pm_2.5,so2,co,o3,no2,max,critical,category,lokasi_spku,year,month,day,day_of_week
0,2022-12-30,40,64,57,21,17,24,64,pm_2.5,SEDANG,DKI4,2022,12,30,4
1,2022-07-06,75,129,45,25,71,26,129,pm_2.5,TIDAK SEHAT,DKI4,2022,7,6,2
2,2022-07-05,66,110,47,16,61,23,110,pm_2.5,TIDAK SEHAT,DKI4,2022,7,5,1
3,2022-07-04,56,78,49,11,60,13,78,pm_2.5,SEDANG,DKI4,2022,7,4,0
4,2022-07-03,78,126,48,17,126,25,126,pm_2.5,TIDAK SEHAT,DKI2,2022,7,3,6
5,2022-07-02,81,137,47,18,106,29,137,pm_2.5,TIDAK SEHAT,DKI4,2022,7,2,5
6,2022-08-01,68,109,50,12,91,19,109,pm_2.5,TIDAK SEHAT,DKI4,2022,8,1,0
7,2022-08-31,85,148,51,25,74,37,148,pm_2.5,TIDAK SEHAT,DKI4,2022,8,31,2
8,2022-08-30,59,84,50,15,56,29,84,pm_2.5,SEDANG,DKI4,2022,8,30,1
9,2022-08-29,58,82,49,16,55,29,82,pm_2.5,SEDANG,DKI4,2022,8,29,0
10,2022-08-28,64,85,49,17,56,30,85,pm_2.5,SEDANG,DKI5,2022,8,28,6
11,2022-08-27,80,130,50,25,57,37,130,pm_2.5,TIDAK SEHAT,DKI4,2022,8,27,5
12,2022-08-26,76,119,53,19,53,31,119,pm_2.5,TIDAK SEHAT,DKI4,2022,8,26,4
13,2022-08-25,64,98,50,12,66,19,98,pm_2.5,SEDANG,DKI4,2022,8,25,3
14,2022-08-24,71,119,50,15,82,20,119,pm_2.5,TIDAK SEHAT,DKI4,2022,8,24,2
15,2022-08-23,76,116,49,17,81,27,116,pm_2.5,TIDAK SEHAT,DKI4,2022,8,23,1
16,2022-08-22,57,78,49,13,79,22,79,o3,SEDANG,DKI2,2022,8,22,0
17,2022-08-21,59,101,49,13,65,17,101,pm_2.5,TIDAK SEHAT,DKI4,2022,8,21,6
18,2022-08-20,76,117,50,14,69,18,117,pm_2.5,TIDAK SEHAT,DKI4,2022,8,20,5
19,2022-08-19,70,105,49,14,66,26,105,pm_2.5,TIDAK SEHAT,DKI4,2022,8,19,4
20,2022-08-18,64,89,49,25,84,28,89,pm_2.5,SEDANG,DKI4,2022,8,18,3
21,2022-08-17,55,78,48,17,108,25,108,o3,TIDAK SEHAT,DKI2,2022,8,17,2
22,2022-08-16,61,89,51,15,181,33,181,o3,TIDAK SEHAT,DKI2,2022,8,16,1
23,2022-08-15,64,84,50,17,63,28,84,pm_2.5,SEDANG,DKI4,2022,8,15,0
24,2022-08-14,68,93,50,14,80,20,93,pm_2.5,SEDANG,DKI4,2022,8,14,6
25,2022-08-13,58,77,48,21,76,36,77,pm_2.5,SEDANG,DKI5,2022,8,13,5
26,2022-08-12,65,94,49,17,97,25,97,o3,SEDANG,DKI2,2022,8,12,4
27,2022-08-11,74,107,52,19,80,27,107,pm_2.5,TIDAK SEHAT,DKI4,2022,8,11,3
28,2022-08-10,73,116,49,19,82,29,116,pm_2.5,TIDAK SEHAT,DKI4,2022,8,10,2
29,2022-08-09,61,88,50,14,103,21,103,o3,TIDAK SEHAT,DKI2,2022,8,9,1
30,2022-08-08,60,84,48,18,97,27,97,o3,SEDANG,DKI2,2022,8,8,0
31,2022-08-07,76,119,50,18,114,29,119,pm_2.5,TIDAK SEHAT,DKI4,2022,8,7,6
32,2022-08-06,69,101,49,19,87,29,101,pm_2.5,TIDAK SEHAT,DKI4,2022,8,6,5
33,2022-08-05,60,82,47,17,79,26,82,pm_2.5,SEDANG,DKI4,2022,8,5,4
34,2022-08-04,69,99,48,15,82,20,99,pm_2.5,SEDANG,DKI4,2022,8,4,3
35,2022-08-03,82,141,51,19,129,24,141,pm_2.5,TIDAK SEHAT,DKI4,2022,8,3,2
36,2022-08-02,67,113,50,15,84,28,113,pm_2.5,TIDAK SEHAT,DKI4,2022,8,2,1
37,2022-09-01,83,130,51,15,42,25,130,pm_2.5,TIDAK SEHAT,DKI4,2022,9,1,3
38,2022-09-30,71,103,51,14,45,23,103,pm_2.5,TIDAK SEHAT,DKI4,2022,9,30,4
39,2022-09-29,62,100,51,14,50,21,100,pm_2.5,SEDANG,DKI4,2022,9,29,3
40,2022-09-28,62,92,51,13,55,24,92,pm_2.5,SEDANG,DKI4,2022,9,28,2
41,2022-09-27,63,86,51,14,58,26,86,pm_2.5,SEDANG,DKI4,2022,9,27,1
42,2022-09-26,57,79,51,14,56,26,79,pm_2.5,SEDANG,DKI5,2022,9,26,0
43,2022-09-25,58,94,50,14,48,25,94,pm_2.5,SEDANG,DKI4,2022,9,25,6
44,2022-09-24,57,83,50,17,39,33,83,pm_2.5,SEDANG,DKI4,2022,9,24,5
45,2022-09-23,73,97,50,24,50,45,97,pm_2.5,SEDANG,DKI2,2022,9,23,4
46,2022-09-22,63,90,50,16,37,24,90,pm_2.5,SEDANG,DKI5,2022,9,22,3
47,2022-09-21,69,112,50,17,42,32,112,pm_2.5,TIDAK SEHAT,DKI4,2022,9,21,2
48,2022-09-20,66,110,51,21,37,41,110,pm_2.5,TIDAK SEHAT,DKI4,2022,9,20,1
49,2022-09-19,70,113,51,17,46,28,113,pm_2.5,TIDAK SEHAT,DKI4,2022,9,19,0
50,2022-09-18,72,113,51,21,43,33,113,pm_2.5,TIDAK SEHAT,DKI4,2022,9,18,6
51,2022-09-17,70,103,51,19,49,35,103,pm_2.5,TIDAK SEHAT,DKI4,2022,9,17,5
52,2022-09-16,62,100,51,18,52,33,100,pm_2.5,SEDANG,DKI4,2022,9,16,4
53,2022-09-15,78,117,51,26,34,39,117,pm_2.5,TIDAK SEHAT,DKI4,2022,9,15,3
54,2022-09-14,67,113,53,18,42,38,113,pm_2.5,TIDAK SEHAT,DKI4,2022,9,14,2
55,2022-09-13,59,81,52,18,45,32,81,pm_2.5,SEDANG,DKI1,2022,9,13,1
56,2022-09-12,53,79,52,18,35,27,79,pm_2.5,SEDANG,DKI4,2022,9,12,0
57,2022-09-11,64,88,51,20,37,34,88,pm_2.5,SEDANG,DKI4,2022,9,11,6
58,2022-09-10,56,72,48,22,41,39,72,pm_2.5,SEDANG,DKI4,2022,9,10,5
59,2022-09-09,71,91,49,28,32,43,91,pm_2.5,SEDANG,DKI5,2022,9,9,4
60,2022-09-08,61,87,48,26,32,45,87,pm_2.5,SEDANG,DKI4,2022,9,8,3
61,2022-09-07,55,79,49,15,38,21,79,pm_2.5,SEDANG,DKI4,2022,9,7,2
62,2022-09-06,63,86,51,12,43,17,86,pm_2.5,SEDANG,DKI4,2022,9,6,1
63,2022-09-05,59,105,51,15,45,23,105,pm_2.5,TIDAK SEHAT,DKI4,2022,9,5,0
64,2022-09-04,42,76,50,9,33,14,76,pm_2.5,SEDANG,DKI4,2022,9,4,6
65,2022-09-03,64,102,50,18,37,31,102,pm_2.5,TIDAK SEHAT,DKI4,2022,9,3,5
66,2022-09-02,71,108,51,21,35,32,108,pm_2.5,TIDAK SEHAT,DKI4,2022,9,2,4
67,2022-10-26,39,43,51,11,27,17,51,so2,SEDANG,DKI4,2022,10,26,2
68,2022-10-25,27,53,51,9,30,19,53,pm_2.5,SEDANG,DKI2,2022,10,25,1
69,2022-10-24,41,57,50,10,31,18,57,pm_2.5,SEDANG,DKI4,2022,10,24,0
70,2022-10-23,52,66,51,11,45,21,66,pm_2.5,SEDANG,DKI4,2022,10,23,6
71,2022-10-22,58,82,51,19,39,41,82,pm_2.5,SEDANG,DKI4,2022,10,22,5
72,2022-10-21,52,67,50,16,31,27,67,pm_2.5,SEDANG,DKI4,2022,10,21,4
73,2022-10-20,67,88,51,28,47,45,88,pm_2.5,SEDANG,DKI4,2022,10,20,3
74,2022-10-19,64,92,51,22,42,44,92,pm_2.5,SEDANG,DKI4,2022,10,19,2
75,2022-10-18,59,79,50,16,45,35,79,pm_2.5,SEDANG,DKI1,2022,10,18,1
76,2022-10-17,56,85,51,13,54,25,85,pm_2.5,SEDANG,DKI4,2022,10,17,0
77,2022-10-16,62,93,51,19,52,36,93,pm_2.5,SEDANG,DKI4,2022,10,16,6
78,2022-10-15,55,78,51,13,58,27,78,pm_2.5,SEDANG,DKI4,2022,10,15,5
79,2022-10-14,67,94,50,28,47,45,94,pm_2.5,SEDANG,DKI4,2022,10,14,4
80,2022-10-13,63,91,52,17,54,36,91,pm_2.5,SEDANG,DKI4,2022,10,13,3
81,2022-10-12,70,97,54,27,44,42,97,pm_2.5,SEDANG,DKI4,2022,10,12,2
82,2022-10-11,77,126,51,23,59,45,126,pm_2.5,TIDAK SEHAT,DKI4,2022,10,11,1
83,2022-10-10,54,74,50,14,38,25,74,pm_2.5,SEDANG,DKI4,2022,10,10,0
84,2022-10-09,58,95,50,24,39,35,95,pm_2.5,SEDANG,DKI4,2022,10,9,6
85,2022-10-08,35,61,50,17,28,25,61,pm_2.5,SEDANG,DKI5,2022,10,8,5
86,2022-10-07,51,66,53,17,35,34,66,pm_2.5,SEDANG,DKI1,2022,10,7,4
87,2022-10-06,61,89,51,20,39,32,89,pm_2.5,SEDANG,DKI4,2022,10,6,3
88,2022-10-05,51,68,50,22,36,42,68,pm_2.5,SEDANG,DKI4,2022,10,5,2
89,2022-10-04,67,98,51,15,40,33,98,pm_2.5,SEDANG,DKI4,2022,10,4,1
90,2022-10-03,56,76,51,18,38,35,76,pm_2.5,SEDANG,DKI5,2022,10,3,0
91,2022-10-02,54,79,50,12,43,19,79,pm_2.5,SEDANG,DKI4,2022,10,2,6
92,2022-10-01,80,128,52,14,39,21,128,pm_2.5,TIDAK SEHAT,DKI4,2022,10,1,5
93,2022-10-27,41,66,51,18,35,27,66,pm_2.5,SEDANG,DKI4,2022,10,27,3
94,2022-10-28,54,77,51,16,33,32,77,pm_2.5,SEDANG,DKI4,2022,10,28,4
95,2022-10-29,53,86,51,15,41,29,86,pm_2.5,SEDANG,DKI4,2022,10,29,5
96,2022-10-30,51,87,51,11,49,19,87,pm_2.5,SEDANG,DKI4,2022,10,30,6
97,2022-10-31,60,78,51,21,44,22,78,pm_2.5,SEDANG,DKI4,2022,10,31,0
98,2022-11-01,49,70,51,10,44,21,70,pm_2.5,SEDANG,DKI4,2022,11,1,1
99,2022-11-02,84,144,51,14,54,34,144,pm_2.5,TIDAK SEHAT,DKI4,2022,11,2,2
100,2022-11-03,65,89,51,13,49,23,89,pm_2.5,SEDANG,DKI4,2022,11,3,3
101,2022-11-04,66,95,52,23,49,42,95,pm_2.5,SEDANG,DKI4,2022,11,4,4
102,2022-11-05,62,81,51,22,55,42,81,pm_2.5,SEDANG,DKI4,2022,11,5,5
103,2022-11-06,63,90,51,18,38,34,90,pm_2.5,SEDANG,DKI3,2022,11,6,6
104,2022-11-07,74,104,51,13,48,22,104,pm_2.5,TIDAK SEHAT,DKI4,2022,11,7,0
105,2022-11-08,66,101,53,30,36,50,101,pm_2.5,TIDAK SEHAT,DKI3,2022,11,8,1
106,2022-11-09,64,96,51,25,41,47,96,pm_2.5,SEDANG,DKI4,2022,11,9,2
107,2022-11-10,53,76,51,18,29,30,76,pm_2.5,SEDANG,DKI3,2022,11,10,3
108,2022-11-11,46,71,51,19,31,25,71,pm_2.5,SEDANG,DKI4,2022,11,11,4
109,2022-11-12,40,61,51,11,36,18,61,pm_2.5,SEDANG,DKI3,2022,11,12,5
110,2022-11-13,38,63,51,17,38,27,63,pm_2.5,SEDANG,DKI4,2022,11,13,6
111,2022-11-14,60,85,51,17,44,28,85,pm_2.5,SEDANG,DKI4,2022,11,14,0
112,2022-11-15,59,95,51,16,39,33,95,pm_2.5,SEDANG,DKI4,2022,11,15,1
113,2022-11-16,54,80,52,10,31,22,80,pm_2.5,SEDANG,DKI3,2022,11,16,2
114,2022-11-17,58,72,52,12,35,25,72,pm_2.5,SEDANG,DKI4,2022,11,17,3
115,2022-11-18,42,53,53,16,29,27,53,so2,SEDANG,DKI2,2022,11,18,4
116,2022-11-19,47,77,56,12,27,24,77,pm_2.5,SEDANG,DKI4,2022,11,19,5
117,2022-11-20,34,51,51,7,30,12,51,so2,SEDANG,DKI4,2022,11,20,6
118,2022-11-21,40,62,51,11,29,19,62,pm_2.5,SEDANG,DKI3,2022,11,21,0
119,2022-11-22,46,72,51,10,26,15,72,pm_2.5,SEDANG,DKI3,2022,11,22,1
120,2022-11-23,50,71,52,11,29,23,71,pm_2.5,SEDANG,DKI3,2022,11,23,2
121,2022-11-24,51,66,52,10,34,24,66,pm_2.5,SEDANG,DKI4,2022,11,24,3
122,2022-11-25,52,77,52,15,38,26,77,pm_2.5,SEDANG,DKI4,2022,11,25,4
123,2022-11-26,80,131,51,20,42,45,131,pm_2.5,TIDAK SEHAT,DKI4,2022,11,26,5
124,2022-11-27,74,112,52,24,37,36,112,pm_2.5,TIDAK SEHAT,DKI4,2022,11,27,6
125,2022-11-28,59,83,51,14,50,31,83,pm_2.5,SEDANG,DKI4,2022,11,28,0
126,2022-11-29,53,73,51,22,48,32,73,pm_2.5,SEDANG,DKI4,2022,11,29,1
127,2022-11-30,65,97,52,13,40,31,97,pm_2.5,SEDANG,DKI4,2022,11,30,2
128,2022-12-01,64,93,52,17,50,31,93,pm_2.5,SEDANG,DKI4,2022,12,1,3
129,2022-12-02,60,94,52,18,42,30,94,pm_2.5,SEDANG,DKI4,2022,12,2,4
130,2022-12-03,60,100,52,16,49,31,100,pm_2.5,SEDANG,DKI4,2022,12,3,5
131,2022-12-04,65,95,52,19,45,34,95,pm_2.5,SEDANG,DKI4,2022,12,4,6
132,2022-12-05,74,117,52,19,48,33,117,pm_2.5,TIDAK SEHAT,DKI4,2022,12,5,0
133,2022-12-06,70,107,49,24,41,44,107,pm_2.5,TIDAK SEHAT,DKI4,2022,12,6,1
134,2022-12-07,53,88,52,21,37,40,88,pm_2.5,SEDANG,DKI4,2022,12,7,2
135,2022-12-08,51,85,52,16,47,35,85,pm_2.5,SEDANG,DKI4,2022,12,8,3
136,2022-12-09,59,94,51,21,31,41,94,pm_2.5,SEDANG,DKI3,2022,12,9,4
137,2022-12-10,42,72,52,27,29,35,72,pm_2.5,SEDANG,DKI4,2022,12,10,5
138,2022-12-11,44,72,52,20,31,32,72,pm_2.5,SEDANG,DKI4,2022,12,11,6
139,2022-12-12,37,62,51,10,32,22,62,pm_2.5,SEDANG,DKI4,2022,12,12,0
140,2022-12-13,47,71,51,13,28,23,71,pm_2.5,SEDANG,DKI3,2022,12,13,1
141,2022-12-14,46,71,51,10,30,17,71,pm_2.5,SEDANG,DKI3,2022,12,14,2
142,2022-12-15,28,60,52,10,29,23,60,pm_2.5,SEDANG,DKI4,2022,12,15,3
143,2022-12-16,56,83,52,12,28,30,83,pm_2.5,SEDANG,DKI4,2022,12,16,4
144,2022-12-17,65,98,52,30,38,45,98,pm_2.5,SEDANG,DKI4,2022,12,17,5
145,2022-12-18,64,96,52,26,46,45,96,pm_2.5,SEDANG,DKI4,2022,12,18,6
146,2022-12-19,64,99,57,28,39,48,99,pm_2.5,SEDANG,DKI4,2022,12,19,0
147,2022-12-20,85,154,54,23,29,47,154,pm_2.5,TIDAK SEHAT,DKI4,2022,12,20,1
148,2022-12-21,57,86,62,45,27,32,86,pm_2.5,SEDANG,DKI3,2022,12,21,2
149,2022-12-22,49,65,59,49,23,24,65,pm_2.5,SEDANG,DKI4,2022,12,22,3
150,2022-12-23,31,40,57,38,24,18,57,so2,SEDANG,DKI2,2022,12,23,4
151,2022-12-24,58,92,57,55,26,24,92,pm_2.5,SEDANG,DKI3,2022,12,24,5
152,2022-12-25,42,56,57,45,25,18,57,so2,SEDANG,DKI2,2022,12,25,6
153,2022-12-26,43,62,58,54,25,27,62,pm_2.5,SEDANG,DKI2,2022,12,26,0
154,2022-12-27,36,47,58,42,20,18,58,so2,SEDANG,DKI2,2022,12,27,1
155,2022-12-28,46,66,57,41,15,19,66,pm_2.5,SEDANG,DKI3,2022,12,28,2
156,2022-12-29,23,50,57,12,16,15,57,so2,SEDANG,DKI2,2022,12,29,3
157,2022-01-11,46,60,53,12,37,28,60,pm_2.5,SEDANG,DKI3,2022,1,11,1
158,2022-01-10,60,87,51,13,36,26,87,pm_2.5,SEDANG,DKI3,2022,1,10,0
159,2022-01-09,56,82,52,14,39,27,82,pm_2.5,SEDANG,DKI3,2022,1,9,6
160,2022-01-08,55,77,52,17,41,29,77,pm_2.5,SEDANG,DKI4,2022,1,8,5
161,2022-01-07,71,113,48,22,38,41,113,pm_2.5,TIDAK SEHAT,DKI4,2022,1,7,4
162,2022-01-06,73,117,53,16,48,42,117,pm_2.5,TIDAK SEHAT,DKI4,2022,1,6,3
163,2022-01-05,95,165,53,18,55,32,165,pm_2.5,TIDAK SEHAT,DKI4,2022,1,5,2
164,2022-01-04,59,102,51,14,51,26,102,pm_2.5,TIDAK SEHAT,DKI4,2022,1,4,1
165,2022-01-03,49,80,49,13,37,21,80,pm_2.5,SEDANG,DKI4,2022,1,3,0
166,2022-01-02,40,70,45,10,36,11,70,pm_2.5,SEDANG,DKI4,2022,1,2,6
167,2020-02-01,64,89,52,13,76,21,89,pm_2.5,SEDANG,DKI3,2020,2,1,5
168,2020-02-28,27,50,40,12,30,11,50,pm_2.5,BAIK,DKI5,2020,2,28,4
169,2020-02-27,31,51,39,14,30,12,51,pm_2.5,SEDANG,DKI4,2020,2,27,3
170,2020-02-26,40,60,39,15,28,16,60,pm_2.5,SEDANG,DKI4,2020,2,26,2
171,2020-02-25,50,59,40,15,28,17,59,pm_2.5,SEDANG,DKI3,2020,2,25,1
172,2020-02-24,45,71,41,14,38,21,71,pm_2.5,SEDANG,DKI4,2020,2,24,0
173,2020-02-23,55,87,49,16,43,38,87,pm_2.5,SEDANG,DKI4,2020,2,23,6
174,2020-02-22,54,92,42,13,56,35,92,pm_2.5,SEDANG,DKI4,2020,2,22,5
175,2020-02-21,54,86,41,21,50,35,86,pm_2.5,SEDANG,DKI5,2020,2,21,4
176,2020-02-20,70,115,47,26,62,36,115,pm_2.5,TIDAK SEHAT,DKI4,2020,2,20,3
177,2020-02-19,67,108,44,23,69,37,108,pm_2.5,TIDAK SEHAT,DKI4,2020,2,19,2
178,2020-02-18,65,118,47,18,67,30,118,pm_2.5,TIDAK SEHAT,DKI4,2020,2,18,1
179,2020-02-17,53,74,45,19,86,29,86,o3,SEDANG,DKI2,2020,2,17,0
180,2020-02-16,66,110,48,24,62,33,110,pm_2.5,TIDAK SEHAT,DKI5,2020,2,16,6
181,2020-02-15,74,119,52,33,61,38,119,pm_2.5,TIDAK SEHAT,DKI3,2020,2,15,5
